type,version,schemaIdentifier,originatingSystem,preprocessorVersion,timeStamp,type,globalId,name,ownerHistory.type,ownerHistory.ref,relatingPropertyDefinition.type,relatingPropertyDefinition.ref
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,64b7f7d3-8cfc-4277-ba33-8de2e65338fa,Basic Wall:Interior - Partition (92mm Stud):203998,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,27ece05c-f06c-4dd2-9ccd-945e52597fa3,Basic Wall:Interior - Furring (152 mm Stud):194166,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,9808fd7f-dc48-478e-9217-628e833d5246,Basic Wall:Interior - Partition (92mm Stud):144633,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcWallStandardCase,27ece05c-f06c-4dd2-9ccd-945e52597b0a,Basic Wall:Interior - Furring (152 mm Stud):193247,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcStair,81be7c96-ce56-447e-9d93-021422f83127,Stair:Residential - 200mm Max Riser 250mm Tread:198878,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcStair,3ab8ee1d-07ad-41b9-8f24-a55884e7e601,Stair:Residential - 200mm Max Riser 250mm Tread:151086,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcBeam,98d604b7-4c6f-4ae8-b5f3-0187bb53f379,M_W-Wide Flange:W310X60:W310X60:209260,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcBeam,98d604b7-4c6f-4ae8-b5f3-0187bb53f378,M_W-Wide Flange:W410X60:W410X60:209261,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcBeam,98d604b7-4c6f-4ae8-b5f3-0187bb53f2f4,M_W-Wide Flange:W410X60:W410X60:209121,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
IFC.JSON,0.0.1,IFC2X3,IFC2JSON_python Version 0.0.1,IfcOpenShell v0.7.0-476ab506d,2023-07-06 10:10:13,IfcBeam,98d604b7-4c6f-4ae8-b5f3-0187bb53f31b,M_W-Wide Flange:W410X60:W410X60:209166,IfcOwnerHistory,94b60c5b-79bd-403f-90fa-a42704c11ed2,,
